Dataset,Criterion,MaxDepth,Trial,Accuracy,NodeCount,ActualDepth,TrainingTime(ms)
Adult,IG,12,9,0.773333,1158,12,303.48
Adult,IG,12,10,0.79,1245,12,318.245
Adult,IG,12,11,0.783333,1171,12,313.331
Adult,IG,12,12,0.758333,1226,12,382.12
Adult,IG,12,13,0.741667,1170,12,334.413
Adult,IG,12,14,0.776667,1254,12,369.511
Adult,IG,12,15,0.763333,1147,12,390.675
Adult,IG,12,16,0.791667,1233,12,345.721
Adult,IG,12,17,0.781667,1223,12,307.586
Adult,IG,12,18,0.801667,1240,12,380.481
Adult,IG,12,19,0.801667,1234,12,293.123
Adult,IG,12,20,0.79,1143,12,354.757
Iris,IG,12,1,0.9,15,5,8.367
Iris,IG,12,2,0.966667,15,5,8.524
Iris,IG,12,3,0.966667,15,5,8.169
Iris,IG,12,4,0.966667,15,5,10.209
Iris,IG,12,5,0.966667,17,5,8.235
Iris,IG,12,6,0.933333,15,5,10.044
Iris,IG,12,7,0.933333,15,5,3.41
Iris,IG,12,8,0.866667,17,5,18.518
Iris,IG,12,9,0.966667,15,5,3.753
Iris,IG,12,10,1,15,5,11.329
Iris,IG,12,11,0.966667,19,5,17.28
Iris,IG,12,12,0.833333,23,5,6.574
Iris,IG,12,13,0.933333,15,5,10.697
Iris,IG,12,14,0.9,19,5,6.977
Iris,IG,12,15,0.933333,21,5,0
Iris,IG,12,16,0.966667,15,5,14.269
Iris,IG,12,17,0.9,15,5,9.395
Iris,IG,12,18,0.9,19,5,0
Iris,IG,12,19,0.933333,15,5,16.541
Iris,IG,12,20,0.966667,15,5,6.224
Adult,IG,15,1,0.76,1320,15,324.333
Adult,IG,15,2,0.778333,1290,15,358.283
Adult,IG,15,3,0.793333,1378,15,406.987
Adult,IG,15,4,0.77,1381,15,374.324
Adult,IG,15,5,0.786667,1348,15,372.725
Adult,IG,15,6,0.766667,1330,15,344.63
Adult,IG,15,7,0.768333,1312,15,330.762
Adult,IG,15,8,0.775,1340,15,404.713
Adult,IG,15,9,0.785,1340,15,398.952
Adult,IG,15,10,0.796667,1376,15,310.187
Adult,IG,15,11,0.8,1358,15,331.536
Adult,IG,15,12,0.795,1335,15,392.842
Adult,IG,15,13,0.785,1421,15,375.755
Adult,IG,15,14,0.805,1418,15,310.751
Adult,IG,15,15,0.781667,1354,15,341.098
Adult,IG,15,16,0.791667,1311,15,332.623
Adult,IG,15,17,0.798333,1366,15,358.882
Adult,IG,15,18,0.773333,1278,15,364.412
Adult,IG,15,19,0.765,1339,15,402.3
Adult,IG,15,20,0.805,1370,15,331.383
Iris,IG,15,1,0.8,17,5,0
Iris,IG,15,2,0.966667,19,5,0
Iris,IG,15,3,0.933333,21,5,21.794
Iris,IG,15,4,0.9,17,5,0
Iris,IG,15,5,0.933333,21,5,0
Iris,IG,15,6,0.966667,15,5,8.529
Iris,IG,15,7,0.866667,19,5,0
Iris,IG,15,8,0.966667,15,5,15.481
Iris,IG,15,9,0.866667,19,5,15.955
Iris,IG,15,10,0.966667,17,5,10.763
Iris,IG,15,11,0.966667,15,5,8.906
Iris,IG,15,12,0.933333,17,5,5.749
Iris,IG,15,13,0.9,21,5,12.806
Iris,IG,15,14,0.9,15,5,3.007
Iris,IG,15,15,0.9,19,5,0
Iris,IG,15,16,0.933333,15,5,4.055
Iris,IG,15,17,0.966667,15,5,11.79
Iris,IG,15,18,0.966667,17,5,8.315
Iris,IG,15,19,0.966667,19,5,8.016
Iris,IG,15,20,0.866667,15,5,8.427
Adult,IGR,0,1,0.811667,1099,15,443.095
Adult,IGR,0,2,0.775,1121,15,519.863
Adult,IGR,0,3,0.798333,1118,15,485.609
Adult,IGR,0,4,0.785,1099,15,409.417
Adult,IGR,0,5,0.775,1155,15,461.002
Adult,IGR,0,6,0.786667,1028,15,461.756
Adult,IGR,0,7,0.793333,1150,15,495.186
Adult,IGR,0,8,0.776667,1109,15,458.143
Adult,IGR,0,9,0.781667,1145,15,516.988
Adult,IGR,0,10,0.803333,1211,15,467.359
